id,lat,long,distans,time,timeToNextMs
987073,43.008836,-6.126975,8524.234503997346,2017-08-30 16:39:26 UTC,112767000
987073,23.0566351,-99.2297178,433.4224937819058,2017-08-31 23:58:53 UTC,4425000
987073,19.6628553877,-97.1706813972,4749.736154316292,2017-09-01 01:12:38 UTC,62731000
987073,48.25699667,-57.65406333,4938.911293854698,2017-09-01 18:38:09 UTC,703000
987073,17.149976,-96.676696,0.8057972124242672,2017-09-01 18:49:52 UTC,346000
987073,17.142759,-96.677382,2061.6888379911848,2017-09-01 18:55:38 UTC,8388000
987073,28.6739444072,-80.8660993878,2083.9352580587106,2017-09-01 21:15:26 UTC,22258000
987073,19.0027111111,-98.4611138889,230.81598831251705,2017-09-02 03:26:24 UTC,68908000
987073,20.2594594605,-100.2152252197,231.75718626753994,2017-09-02 22:34:52 UTC,256000
987073,19.0731222222,-98.3953472222,3273.9307617227173,2017-09-02 22:39:08 UTC,5740000
987073,44.8597549024,-81.3065963333,1767.0347877167603,2017-09-03 00:14:48 UTC,85481000
987073,48.55335333,-58.67143333,4965.005922854277,2017-09-03 23:59:29 UTC,60662000
987073,19.5872789298,-101.1267781269,5011.232377401513,2017-09-04 16:50:31 UTC,26778000
987073,57.02326835,-135.14376158,5113.542694652874,2017-09-05 00:16:49 UTC,268494000
987073,19.961359,-98.116257,681.9571030325172,2017-09-08 02:51:43 UTC,74492000
987073,16.7061282806,-92.6393357356,659.8918442067818,2017-09-08 23:33:15 UTC,356880000
987073,19.0762194444,-98.3573,4625.987587311863,2017-09-13 02:41:15 UTC,143761000
987073,53.0449241048,-129.439432529,4127.4417095401595,2017-09-14 18:37:16 UTC,22797000
987073,30.4509305556,-88.6519611111,56.607273259088984,2017-09-15 00:57:13 UTC,52095000
987073,30.85850452,-89.00655126,1513.7337378323023,2017-09-15 15:25:28 UTC,76828000
987073,21.991825,-100.5656138889,0,2017-09-16 12:45:56 UTC,0
987073,21.991825,-100.5656138889,4492.3975993601525,2017-09-16 12:45:56 UTC,86409000
987073,49.5495194,-62.9555318,1479.6712720905218,2017-09-17 12:46:05 UTC,119389000
987073,45.1912147017,-81.5852451324,3138.3630747474863,2017-09-18 21:55:54 UTC,113278000
987073,50.8364784004,-123.5324521351,3927.2859059533985,2017-09-20 05:23:52 UTC,88173000
987073,30.0490519605,-85.0125024391,8622.095705787477,2017-09-21 05:53:25 UTC,54195000
